_	a	determiner			banyin na basia	a man and a woman
Gaananyi	Ghanaian	noun	obi a ɔ fi Gaana	someone from Ghana	Gaanafo no	the Ghanaians
gaas	gas	noun			gaas bukyia	gas stove
gaas	gaseous	adjective			nsu gaas	gaseous water
Gabɔn	Gabon	noun	Ɔman wɔ Abibir	A country in Africa	kɔ Gabɔn	go to Gabon
Gabɔnnyi	Gabonese	noun	obi a ɔ fi Gabɔn	someone from Gabon	Gabɔnfo no	the Gabonese
galɔn	gallon	noun			nsu galɔn	a gallon of water
Gambia	Gambia	noun	Ɔman wɔ Abibir	A country in Africa	kɔ Gambia	go to Gambia
Gambianyi	Gambian	noun	obi a ɔ fi Gambia	someone from Gambia	Gambiafo no	the Gambians
garagye	garage	noun			kaar garagye	car garage
gari	gari	noun			gari nye aduwa	beans and gari
Gaza	Gaza	noun	Ɔman wɔ Ahyia	A country in Asia	kɔ Gaza	go to Gaza
Gazanyi	Gazan	noun	obi a ɔ fi Gaza	someone from Gaza	Gazafo no	the Gazans
Gbe	Gbe	noun			Gbe kasa	Gbe language
geeti	gate	noun			buei geeti no	open the gate
Gini	Guinea	noun	Ɔman wɔ Abibir	A country in Africa	kɔ Gini	go to Guinea
Gininyi	Guinean	noun	obi a ɔ fi Gini	someone from Guinea	Ginifo no	the Guineans
gol	goal	noun			hyɛ gol	score a goal
gow	soften	verb			gow wo nde	soften your voice
gowgow	soft	adjective			paanoo gowgow	soft bread
gɔta	gutter	noun			nsu wɔ gɔta no mu	there is water in the gutter
gram	gramme	noun			gram du	ten grammes
gu	annul	verb			gu aware	annul a marriage
gu ... anyim ase	disgrace	verb			wo regu wo anyim ase	you are disgracing yourself
gu ... ho fi	defile	verb			mma nngu woho fi	do not defile yourself
gu ahome	breathe	verb			gu ahome brɛw	breathe slowly
gu nsu	urinate	verb			gu nsu wɔ hɔ	to urinate there
gua	shopping	noun			me gua	my shopping
gua	market	noun			kɔ gua mu	go to market
guade	product	noun			bɔ guade ho dawuru	to advertise a product
guadi	business	noun			guadi nye amansɛm	business and politics
guamba	lamb	noun			Yesu, Nyame aguamba	Jesus, lamb of God
guamutenanyi	chairperson	noun			ɔ no nye guamutenanyi	she is the chairperson
guan	sheep	noun			guan nam	sheep meat (i.e. mutton)
guane	flee	verb			ɔ guanee	he fled
guankɔbea	refuge	noun			yɛn guankɔbea	our refuge
guare	bath	verb			guare anapa biara	to bath each morning
guatiri	investment	noun			me hia guatiri	I need an investment
gunsu	urine	noun			dwanse no bɔn	the urine smells
gurannsera	lemon	noun			gurannsera abiasa	three lemons
gya	leave	verb			gya no akyiri	leave it behind
gya	fire	noun			sɔ gya no	light the fire
gya	see ... off	verb			gya me	see me off
gya ... kwan	guide	verb			gya nkorɔfo kwan	to guide people
gyaade	kitchen	noun			me wɔ gyaade	I am in the kitchen
gyae	stop	verb			gyae dede yɛ	stop making noise
gyagowa	jaguar	noun			gyagowa yɛ abowa	a jaguar is an animal
gyama	maybe	adverb			gyama ɔ bɛba	maybe he will come
gyama	jama	noun			hye gyama	sing jama
gyan	wasted	adjective			adiban gyan	wasted food
gyanka	orphan	noun			yɛ yɛ ngyanka	we are orphans
Gyapan	Japan	noun	Ɔman wɔ Ahyia	A country in Asia	kɔ Gyapan	go to Japan
Gyapannyi	Japanese	noun	obi a ɔ fi Gyapan	someone from Japan	Gyapanfo no	the Japanese
gyasaaboafo	tiger	noun			gyasaaboafo kakraka	a large tiger
gyata	lion	noun			gyata we nam	a lion eats flesh
gyaye	free	verb			ɔ bɛgyaye kraman no	she will free the dog
gye	get	verb			gye buukuu no	get the book
gye	collect	verb			gye sika	to collect money
gye	except	conjunction			gye Nyame	except God
gye ... akyingye	dispute	verb			gye no akyingye	dispute him
gye ... anyi	entertain	verb			gye wo anyi	entertain yourself
gye ... di	believe	verb			gye Kofi di	believe Kofi
gye ... to mu	accept	verb			gye no to mu	accept her
gye ... yɛn	adopt	verb			gye ɔba yɛn	to adopt a child
gye din	become famous	verb			Nkrumah agye din	Nkrumah has become famous
gyedi	faith	noun			gyedi na asomdwoe	faith and peace
gyefo	saviour	noun			me gyefo	my saviour
gyegye	annoy	verb			wo regyegye me	you are annoying me
gyengyɛn	unnecessary	adjective			ahorabahyɛ gyengyɛn	unnecessary insults
gyensɛn	ginseng	noun			gyensɛn yɛ haban	ginseng is a plant
gyerasee	glass	noun			gyeraase mu nsu	a glass of water
Gyeɔgyea	Georgia	noun	Ɔman wɔ Ahyia	A country in Asia	kɔ Gyeɔgyea	go to Georgia
Gyeɔgyeanyi	Georgian	noun	obi a ɔ fi Gyeɔgyea	someone from Georgia	Gyeɔgyeafo no	the Georgians
Gyɛmɛni	Germany	noun			me di Awɔwbere wɔ Gyɛmɛni	I spend the winter in Germany
Gyibuti	Djibouti	noun	Ɔman wɔ Abibir	A country in Africa	kɔ Gyibuti	go to Djibouti
Gyibutinyi	Djiboutian	noun	obi a ɔ fi Gyibuti	someone from Djibouti	Gyibutifo no	the Djiboutians
gyimi	jest	verb			woana na ɔ regyimi no?	who is the one jesting?
gyimi	jester	noun			ɔ yɛ gyimi	she is a jester
gyina	stand	verb			gyina berɛw	to stand slowly
gyinabea	stop	noun			bɔs gyinabea	bus stop
gyinabew	state	noun			hwɛ hɛn gyinabew mbɔbɔr	look at our pitiful state
gyinae	decision	noun			gyinae papa	a good decision
gyinse	jeans	noun			gyinse bruu	blue jeans
gyirafe	giraffe	noun			gyirafe yɛ abowa	a giraffe is an animal
ha	here	adverb			kleke ha	click here
ha	here	noun		this place or this position	kɔ fi ha	go from here
haban	plant	noun			haban kɔkɔɔ	red plant
haedrogyen	hydrogen	science			haedrogyen (H) wɔ protɔn 1	hydrogen (H) has 1 proton
haedrogyen	hydrogen	noun			haedrogyen kaar	hydrogen car
hahyetage	hashtag	noun			Twitter hahyetage	Twitter hashtag
hamɛr	hammer	noun			hamɛr nye prɛɛgow	hammer and nail
hankete	handkerchief	noun			e wɔ hankete a?	do you have a handkerchief?
hann	light	noun			wimu hann	light of the sky
hare	lightweight	adjective			nwoma no mu yɛ hare	the book is lightweight
hata	dry	verb			hata ntare	to dry clothes
hataw	leaf	noun			hataw bun	green leaf
haw	bother	noun			haw pii	too much bother
haw	bother	verb			wo rehaw me	you are bothering me
Hawosa	Hausa	noun			Hawosa kasa	Hausa language
hembaa	queen	noun			ɔ yɛ hembaa	she is a queen
hemfa	where	adverb			wo te hemfa?	where do you live?
hen	king	noun			ɔ yɛ hen	he is a king
hene	chief	noun			ɔ yɛ ɔhene	she is a chief
hɛmba	canoe	noun			hɛmba na tabon	canoe and paddle
hɛn	our	possessive			hɛn fie	our house
hɛn	us	pronoun			kyerɛ hɛn	show us
hɛnde	ours	pronoun			me na Kofi, ɛ yi yɛ hɛnde	I and Kofi, this thing is ours
hɛnho	ourselves	pronoun			ma hɛnho	for ourselves
hɛnkani	driver	noun			ɔhɛnkani no atwe breeke	the driver has braked
hia	need	verb			hia abusua	to need family
hia	poverty	noun			ohia anaa ahonya	poverty or wealth
hiani	indigent	noun	obi a ɔ hia	a person who lacks	ohiani nnyi hwee	an indigent has nothing
hihim	vibrate	verb			dua no rehihim	the tree is vibrating
hiliyɔm	helium	science			hiliyɔm (He) wɔ protɔn 2	helium (He) has 2 protons
him	sway	verb			dua no rehim	the tree is swaying
hinhim	rock	verb			me rennhinhim ara da	I shall never be rocked
ho	about	preposition			me dwene wo ho	I think about you
ho	self	noun			meho, woho	myself, yourself
hoa	fade	verb			tam no ahoa	the cloth has faded
hohoro	wash	verb			hohoro mbɔdambɔ no	to wash the bottles
hoku	suicide	noun			Ɛ yɛ hoku	It is a suicide
hokwan	access	noun			ma me hokwan	give me access
hom	youes	pronoun		Also "you". second person plural object	hom abien	the two of youes
hom	yous	pronoun	de kyerɛ binom a wɔ retie	Also written as "you". second person plural subject. Used to indicate people being addressed.	hom didi	yous eat
hom	yours	possessive		2nd person plural possessive pronoun; commonly written as 'your'	hom fie	your house
homde	yours	pronoun		possessive second person plural	wo na Kofi, ɛ yi yɛ homde	you and Kofi, this thing is yours
home	breathe	verb			home kakra	breathe a little; take a breather
homeda	holiday	noun			ndɛ yɛ homeda	today is a holiday
honam	flesh	noun			honam na mbogya	flesh and blood
honamanyi	skin	noun			honamanyi wowee	dry skin
honamdua	body	noun			nyimpa yɛ honamdua, kra nye sunsum	a person is body, soul and spirit
honhom	spirit	noun				he has a strong spirit
hono	swell	verb			nan honoee	swollen leg
horo	wash	verb			horo ntare	wash clothes
hɔ	there	noun		that place	ha na hɔ	here and there
hɔho	guest	noun			me yɛ hɔho	I am a guest
hɔn	their	possessive			hɔn fie	their house
hɔn	them	pronoun			kyerɛ hɔn	show them
hɔnho	themselves	pronoun			wɔ hwɛ hɔnho yie	they look after themselves well
hram	yawn	verb			gyae hram	stop yawning
hu	scary	adjective			ɔ yɛ hu	it is scary
hu	find	verb			hu kasafua no	find the word
hu	see	verb			hu nsaman	to see ghosts
hu ... ansa	foresee	verb			me hu nkonyimdi ansa	I foresee victory
hu ... mbobɔr	show ... pity	verb			hu no mbɔbɔr	show her pity
hu amande	suffer	verb			wo rehu amande	you are suffering
hua	smell	verb			hua nhyiren no	to smell the flowers
huahuam	fragrant	adjective			senamɔn yɛ huahuam	cinnamon is fragrant
huam	fragrance	noun			nku ne huam	the fragrance of sheabutter
huam nkrɔm	snore	verb			me huam nkrɔm	I snore
huane	peel	verb			huane borɛde	to peel plantain
huei	pour	verb			huei nsu	pour water
huhuuhu	frightening	adjective			ɛ yɛ huhuuhu	it is frightening
huna	frighten	verb			huna mbofra	frighten children
hunti	sneeze	verb			hunti dedeede	to sneeze loudly
huntuma	soot	noun			huntuma tuntum	black soot
hunu	empty	noun			bokiti hunu	empty bucket
huoo	blazing	adjective			gya huoo	blazing fire
hurae	malaria	noun			hurae yɛ yare	malaria is a disease
hurow	shame	verb			wɔ nhurow no	shame him
huru	boil	verb			nkwan no rehuru	the soup is boiling
huruw	jump	verb			huruw ban	to jump a wall
husu	reflection	noun			ne husu	his reflection
huw	blow	verb			huw mframa	blow air
hwe	spank	verb			me bɛ hwe wo	I will spank you
hwe ase	fall down	verb			kosuo no ahwe ase	the egg has fallen down
hweaa	slim	adjective			nyimpa hweaa	slim person
hwee	nothing	noun			Me nyi hwee	I have nothing
hweeara	zero	adjective	Nkanee a ɛ kyerɛ hwee; 0	A number that indicates nothingness; 0	Fi hweeara kɔ akron	From zero to nine
hwehwɛ	search	verb		to look for something	hwehwɛ ne dan no mu	search his house
hwehwɛ	seek	verb		look for	hwehwɛ nkyerɛmu	to seek meaning
hwene	nose	noun			asowa na hwene	ear and nose
hwenedɔre	phlegm	noun			pepa hwenedɔre no	wipe the phlegm
hwentea	xylopia	noun				
hwenteaba	clove	noun			fa hwenteaba bi ka aduane no ho	add some cloves to the food
hwere	duration	noun			ndɔn hwere aduanan	forty-hour duration
hwɛ	look	verb			hwɛ banyimba no	look at the boy
hwɛ	watch	verb			hwɛ bɔɔl	to watch football
hwɛ ... so	manage	verb			hwɛ obi so	to manage someone
hwɛyiehwɛyie	careful	adjective			nyimpa hwɛyiehwɛyie	a careful person
hwi	hair	noun			akoko hwi	chest hair
hwiir	wheel	noun			me kaar wɔ hwiir anan	my car has four wheels
hwim	snatch	verb			hwimee foon no	snatched the phone
hwirow	slurp	verb		make a sucking noise when drinking a liquid	ɔ rehwirow nkwan no	she is slurping the soup
hye gyama	sing jama	verb			ma yɛ nhye gyama	let us sing jama
hyee	fast	adjective			pɔnkɔ hyee	a fast horse
hyehye	burn	verb		cause a stinging feeling	muoko no hyehye	the pepper burns
hyehyew	scald	verb		burn skin with a hot liquid	nsu hyew hyehyew	hot water scalds
hyehyɛ	arrange	verb			hyehyɛ ngua no	arrange the chairs
hyehyɛ ... ahoroba	diss	verb			hyehyɛ obi ahoroba	diss someone
hyehyɛpɛ	civilized	adjective			wiase hyehyɛpɛ	a civilized world
hyera	vase	noun			dɛte hyera	clay vase
hyeren	shine	verb			awia rehyeren	sun is shining
hyew	hot	adjective			nsu hyew	hot water
hyew	heat	noun			hyew no aba	the heat has arrived
hyew	incinerate	verb			hyew nkrataa no nyina	incinerate all the papers
hyew	burn	verb		set alight with fire	hyew nkrataa	burn papers
hyewhyew	active	adjective			abrabɔ hyewhyew	an active lifestyle
Hyeɔna	Shona	noun			me ka Hyeɔna kasa	I speak Shona
hyɛ	wear	verb			hyɛ atare	wear clothes
hyɛ	force	verb			e rehyɛ me	you are forcing me
hyɛ	score	verb			hyɛ gool	to score a goal
hyɛ	nominate	verb			hyɛ mbere	name a time
hyɛ	command	verb			hyɛ sordaanyi	to command a soldier
hyɛ ... ahoroba	insult	verb			ɔ hyɛ ahoroba dodow	he insults too much
hyɛ ... ananmu	replace	exclamation			hyɛ me ananmu	replace me
hyɛ ... anyimunyam	honour	verb			hyɛ Nyame anyimunyam	honour the Lord
hyɛ ... ase	begin	verb			hyɛ ase didi	start eating
hyɛ ... do	oppress	verb			e rehyɛ me do	you are oppressing me
hyɛ ... ma	fill up	verb			hyɛ ankora no ma	fill up the barrel
hyɛ ... ma	fill	verb			hyɛ no ma	fill it
hyɛ ... nkuran	encourage	verb			hyɛ no nkuran	encourage her
hyɛ ase	start	verb			hyɛ ase ntɛm	to start early
hyɛ ase yɛ	become	verb		to begin to be	ɔ hyɛee ase yɛee bafuu	she became rich
hyɛ da	pretend	verb			wo rehyɛ da	you are pretending
hyɛ nkɔm	prophesy	verb			hyɛ ahonya nkɔm	prophesy prosperity
hyɛe	line	noun			bɔɔl no atra hyɛe no	the ball has crossed the line
hyɛfe	chef	noun			hyɛfe papa	a good chef
hyɛn	vehicle	noun			hyɛn foforo	a new vehicle
hyɛn-gyinabea	port	noun		harbour	Takorade wɔ hyɛn-gyinabea	Takoradi has a port
hyɛnhyɛmbo	crystal	noun			hyɛnhyɛmbo fɛfɛw	a beautiful crystal
hyɛpɛɛ	ostentatious	adjective			atare hyɛpɛɛ	an ostentatious dress
hyɛɛte	shirt	noun			ɔ hyɛ hyɛɛte	she is wearing a shirt
hyia	meet	verb			hyia me wɔ fie	meet me at home
hyiahiano	congenial	adjective			bea hyiahiano	a congenial place
hyira	bless	verb			hyira me	bless me
hyiregu	divorce	noun			ɔ pɛ hyiregu	he wants a divorce
Ibo	Igbo	noun			Ibo kasa	Igbo language
ibola	ebola	noun			ibola yɛ yareba	ebola is a disease
Id	Eid	noun			Id yɛ homeda	Eid is a holiday
ilɛktrɔn	electron	science			ilɛktrɔn wɔ -1 kyeagye	an electron has a charge of -1
imel	email	noun			prente imel no	print the email
India	India	noun	Ɔman wɔ Ahyia	a country in Asia	kɔ India	go to India
Indianyi	Indian	noun	obi a ɔ fi India	someone from India	Indiafo no	the Indians
indigo	indigo	adjective			tam indigo	indigo cloth
Indonihyia	Indonesia	noun	Ɔman wɔ Ahyia	A country in Asia	kɔ Indonihyia	go to Indonesia
Indonihyianyi	Indonesian	noun	obi a ɔ fi Indonihyia	someone from Indonesia	Indonihyiafo no	the Indonesians
ingyin	engine	noun			ingyin foforo	a new engine
intanɛte	internet	noun			intanɛte lenke	internet link
Irak	Iraq	noun	Ɔman wɔ Ahyia	A country in Asia	kɔ Irak	go to Iraq
Iraknyi	Iraqi	noun	obi a ɔ fi Irak	someone from Iraq	Irakfo no	the Iraqis
Iran	Iran	noun	Ɔman wɔ Ahyia	A country in Asia	kɔ Iran	go to Iran
Irannyi	Iranian	noun	obi a ɔ fi Iran	someone from Iran	Iranfo no	the Iranians
Israɛl	Israel	noun	Ɔman wɔ Ahyia	A country in Asia	kɔ Israɛl	go to Israel
Israɛlnyi	Israeli	noun	obi a ɔ fi Israɛl	someone from Israel	Israɛlfo no	the Israelis
Jɔɔdan	Jordan	noun	Ɔman wɔ Ahyia	A country in Asia	kɔ Jɔɔdan	go to Jordan
Jɔɔdannyi	Jordanian	noun	obi a ɔ fi Jɔɔdan	someone from Jordan	Jɔɔdanfo no	the Jordanians
ka	bite	verb			bɔdɔm no tumi ka	the dog can bite
ka	drive	verb			ka kaar	drive a car
ka	tell	verb			ɔ reka asɛm  no	he is telling the story
ka	speak	verb			ka nokware	to speak the truth
ka	touch	verb			ka ne tirinhwi	to touch her hair
ka ... anyi	entertain	verb			ka wo anyi	entertain yourself
ka ... bom	unite	verb			Abibiman bɛka bom	Africa will unite
ka ... fra ~ mu	integrate	verb		to join together to form a whole	ka nyimpa foforo no fra abusua no mu	to integrate a new person into the family
ka ... ho	hurry (something) up	verb			ka wo ho	you hurry up
ka ... hyew	stimulate	verb			ka mframa no hyew	to stimulate the wind
ka ... ntam	swear	verb			ka ntam sɛ wo nye me bɛwu	swear that you and me will die (together)
ka ntam	swear	verb			me ka ntam sɛ	I swear that
ka wo ano	taste	verb			fa adiban no ka wo ano	taste the food
kaabɔn	carbon	science			kaabɔn (C) wɔ protɔn 6	carbon (C) has 6 protons
kaade	card	noun			kaade fitaa	a white card
kaansa	though	conjunction			me hu kaansa ɛ yɛ summ	I see though it is dark
kaar	car	noun			twiw kaar	drive a car
kaasɛ	figure	verb			wo kaasɛ ɛ yɛ den?	you figure it is hard?
kaatun	cartoon	noun			kaatun foforo	new cartoons
kabea	tense	noun			dadaw kabea	past tense
kabum	explode	verb			topae no kabumee	the bomb exploded
kae	remember	verb			wo kae me?	you remember me?
kafamu	land	verb		to touch down	aroplen no akafamu	the aeroplane has landed
kafra	excuse me	exclamation			Kosɛ. Kafra.	Sorry. Excuse me.
kahyire	carrying pad	noun			fa to kahyire no so	put it on the carrying pad
kakaduru	ginger	noun			kakaduru nkwan	ginger soup
kakae	apparition	noun			suro kakae	fear an apparition
kakarika	cockroach	noun		also known as a roach (American English)	me hu kakarika	I see a cockroach
kakaw	toothache	noun			me wɔ kakaw	I have toothache
kakii	khakhi	noun			kakii pieto	khakhi shorts
kakra	a little	adverb			tweɔn kakra	wait a little
kakra	little	noun			huei nsa kakra	pour a little liquor
kakraba	smallest	adjective			ne ba kakraba	his smallest child
kakraka	large	adjective		very big	taega kakraka	a large tiger
kalsiyɔm	calcium	science			kalsiyɔm (Ca) wɔ protɔn 20	calcium (Ca) has 20 protons
kalɛnda	calendar	noun			kalɛnda foforo	a new calendar
kama	nice	adjective			yɛ no kama	make it nice
Kambodia	Cambodia	noun	Ɔman wɔ Ahyia	A country in Asia	kɔ Kambodia	go to Cambodia
Kambodianyi	Cambodian	noun	obi a ɔ fi Kambodia	someone from Cambodia	Kambodiafo no	the Cambodians
kame	deny	verb			wo nntumi nnkame nokware no	you cannot deny the truth
kamera	camera	noun			kamera ne lɛnse	lens of a camera
Kamerun	Cameroon	noun	Ɔman wɔ Abibir	A country in Africa	kɔ Kamerun	go to Cameroon
kamfo	commend	verb			kamfo no	commend her
kamin	cumin	noun			kamin nyin wɔ Ahyia	cumin grows in Asia
kamomael	chamomile	noun			kamomael tii	chamomile tea
kan	read	verb			kan nwoma	to read a book
kan	count	verb			kan sika	count money
Kanada	Canada	noun			me di ahuhurobere wɔ Kanada	I spend the summer in Canada
kandea	lantern	noun			sɔ kandea no	turn on the lantern
kandinyi	trailblazer	noun			Gandhi yɛ kandinyi	Gandhi is a trailblazer
kane	first	noun			ne da a ɛ di kane	his first day
kanee	number	noun			kanee 5	number 5
kankabi	poisonous	adjective			ɔkankabi barima te sɛ wo	a poisonous man like you
kankan	pungently	adverb			bɔn kankan	smell pungently
kanko	circle	noun		a circle has an infinite number of angles	kanko abiasa	three circles
kann	bright	adjective			dan kann	bright room
kantoose	palmnut soup	noun			me pɛ kantoose	I want palmnut soup
kapentadwuma	carpentry	noun			ɔ nyim kapentadwuma	she knows carpentry
kapentanyi	carpenter	noun			ɔ yɛ kapentanyi	he is a carpenter
kapɛt	carpet	noun			kapɛt foforo	new carpet
kari	weigh	verb			kari wo ba	weigh your child
Karibiyɛn	Caribbean	noun			kɔ Karibiyɛn	go to the Caribbean
karɔte	carrot	noun			karɔte anan	four carrots
kasa	talk	verb			kasa dodow	to talk too much
kasa	language	noun			kasa ahorow	many languages
kasabisa	debate	noun			kasabisa no rehyɛ ase	the debate is starting
kasafiri	radio	noun			sɔ kasafiri no	switch on the radio
kasafua	word	noun			me nyim nkasafua 100	I know 100 words
kasahare	rap	noun		spoken or chanted rhyming lyrics	kasahare ndwom	rap music
kasakyerɛmunyi	interpreter	noun			papa no hia kasakyerɛmunyi	the man needs an interpreter
kasamafo	lawyer	noun	nyi a ɔ ka asɛm ma obi.		akasamafo anan	four lawyers
kasambirenyi	figure of speech	noun			kasa biara wɔ kasambirenyi pii.	every language has figures of speech
kasaprɛko	authoritative	adjective	Nea ɔkasa wie a, obiara nnka bi nnka ho		ɔ yɛ kasaprɛko	she is authoritative
kasasua	dictionary	noun			mfonyin kasasua	picture dictionary
kata	cover	verb			kata so	cover it up
